protID	subSys	CN04	CN22	CN38	CN78	hGR
A2P2R3	Alanine, aspartate and glutamate metabolism	0	0	0	0	0
A2P2R3	Amino sugar and nucleotide sugar metabolism	0	0	0	0	0
A2P2R3	Biosynthesis of antibiotics	0	0	0	0	0
O13525	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0
O13525	Biosynthesis of secondary metabolites	0	0	0	0	0
P00044	Oxidative phosphorylation	2.51843283225119e-08	2.99155405797409e-08	7.3853783064292e-09	0	7.25896689719453e-08
P00044	Pyruvate metabolism	2.51843283225119e-08	2.99155405797409e-08	7.3853783064292e-09	0	7.25896689719453e-08
P00044	Sulfur metabolism	2.51843283225119e-08	2.99155405797409e-08	7.3853783064292e-09	0	7.25896689719453e-08
P00045	Oxidative phosphorylation	0	0	0	0	0
P00045	Pyruvate metabolism	0	0	0	0	0
P00045	Sulfur metabolism	0	0	0	0	0
P00127	Oxidative phosphorylation	1.2734322306456e-05	1.17153880383807e-05	9.9813880648992e-06	6.19562459820978e-06	2.91959613402328e-05
P00127	Sulfur metabolism	1.2734322306456e-05	1.17153880383807e-05	9.9813880648992e-06	6.19562459820978e-06	2.91959613402328e-05
P00128	Oxidative phosphorylation	1.2734322306456e-05	1.17153880383807e-05	9.9813880648992e-06	6.19562459820978e-06	2.91959613402328e-05
P00128	Sulfur metabolism	1.2734322306456e-05	1.17153880383807e-05	9.9813880648992e-06	6.19562459820978e-06	2.91959613402328e-05
P00163	Oxidative phosphorylation	1.2734322306456e-05	1.17153880383807e-05	9.9813880648992e-06	6.19562459820978e-06	2.91959613402328e-05
P00163	Sulfur metabolism	1.2734322306456e-05	1.17153880383807e-05	9.9813880648992e-06	6.19562459820978e-06	2.91959613402328e-05
P00175	Pyruvate metabolism	0	0	0	0	0
P00175	Sulfur metabolism	0	0	0	0	0
P00330	Gluconeogenesis	0	0	0	7.43844129457545e-07	1.24951547632138e-06
P00330	Glycolysis	0	0	0	7.43844129457545e-07	1.24951547632138e-06
P00330	Fatty acid degradation	0	0	0	7.43844129457545e-07	1.24951547632138e-06
P00330	Tyrosine metabolism	0	0	0	7.43844129457545e-07	1.24951547632138e-06
P00330	Biosynthesis of secondary metabolites	0	0	0	7.43844129457545e-07	1.24951547632138e-06
P00330	Biosynthesis of antibiotics	0	0	0	7.43844129457545e-07	1.24951547632138e-06
P00330	Carbon metabolism	0	0	0	7.43844129457545e-07	1.24951547632138e-06
P00331	Gluconeogenesis	0	2.22294868260382e-06	0	0	0
P00331	Glycolysis	0	2.22294868260382e-06	0	0	0
P00331	Fatty acid degradation	0	2.22294868260382e-06	0	0	0
P00331	Tyrosine metabolism	0	2.22294868260382e-06	0	0	0
P00331	Biosynthesis of secondary metabolites	0	2.22294868260382e-06	0	0	0
P00331	Biosynthesis of antibiotics	0	2.22294868260382e-06	0	0	0
P00358	Gluconeogenesis	0	0	0	0	0
P00358	Glycolysis	0	0	0	0	0
P00358	Biosynthesis of secondary metabolites	0	0	0	0	0
P00358	Biosynthesis of antibiotics	0	0	0	0	0
P00358	Carbon metabolism	0	0	0	0	0
P00358	Biosynthesis of amino acids	0	0	0	0	0
P00359	Gluconeogenesis	0	0	0.000106728726702707	0.000182739804821323	0.000264521020723242
P00359	Glycolysis	0	0	0.000106728726702707	0.000182739804821323	0.000264521020723242
P00359	Biosynthesis of secondary metabolites	0	0	0.000106728726702707	0.000182739804821323	0.000264521020723242
P00359	Biosynthesis of antibiotics	0	0	0.000106728726702707	0.000182739804821323	0.000264521020723242
P00359	Carbon metabolism	0	0	0.000106728726702707	0.000182739804821323	0.000264521020723242
P00359	Biosynthesis of amino acids	0	0	0.000106728726702707	0.000182739804821323	0.000264521020723242
P00360	Gluconeogenesis	1.67944434193918e-05	2.39984434902372e-05	0	0	4.54220952710818e-06
P00360	Glycolysis	1.67944434193918e-05	2.39984434902372e-05	0	0	4.54220952710818e-06
P00360	Biosynthesis of secondary metabolites	1.67944434193918e-05	2.39984434902372e-05	0	0	4.54220952710818e-06
P00360	Biosynthesis of antibiotics	1.67944434193918e-05	2.39984434902372e-05	0	0	4.54220952710818e-06
P00360	Carbon metabolism	1.67944434193918e-05	2.39984434902372e-05	0	0	4.54220952710818e-06
P00360	Biosynthesis of amino acids	1.67944434193918e-05	2.39984434902372e-05	0	0	4.54220952710818e-06
P00401	Oxidative phosphorylation	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00401	Sulfur metabolism	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00410	Oxidative phosphorylation	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00410	Sulfur metabolism	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00420	Oxidative phosphorylation	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00420	Sulfur metabolism	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00425	Oxidative phosphorylation	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00425	Sulfur metabolism	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00427	Oxidative phosphorylation	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00427	Sulfur metabolism	4.14854391800919e-06	3.84578173803082e-06	3.19826012750838e-06	1.96538666817166e-06	9.57559551222602e-06
P00431	Sulfur metabolism	0	0	0	0	0
P00498	Histidine metabolism	8.51672190826926e-07	9.36839409909618e-07	5.62103645945771e-07	4.5990298304654e-07	2.02527646978643e-06
P00498	Biosynthesis of secondary metabolites	8.51672190826926e-07	9.36839409909618e-07	5.62103645945771e-07	4.5990298304654e-07	2.02527646978643e-06
P00498	Biosynthesis of amino acids	8.51672190826926e-07	9.36839409909618e-07	5.62103645945771e-07	4.5990298304654e-07	2.02527646978643e-06
P00549	Gluconeogenesis	1.21800142007563e-06	2.27321430569999e-06	3.85412695521011e-06	7.08553918426596e-06	1.07045449971973e-05
P00549	Glycolysis	1.21800142007563e-06	2.27321430569999e-06	3.85412695521011e-06	7.08553918426596e-06	1.07045449971973e-05
P00549	Purine metabolism	1.21800142007563e-06	2.27321430569999e-06	3.85412695521011e-06	7.08553918426596e-06	1.07045449971973e-05
P00549	Pyruvate metabolism	1.21800142007563e-06	2.27321430569999e-06	3.85412695521011e-06	7.08553918426596e-06	1.07045449971973e-05
P00549	Biosynthesis of secondary metabolites	1.21800142007563e-06	2.27321430569999e-06	3.85412695521011e-06	7.08553918426596e-06	1.07045449971973e-05
P00549	Biosynthesis of antibiotics	1.21800142007563e-06	2.27321430569999e-06	3.85412695521011e-06	7.08553918426596e-06	1.07045449971973e-05
P00549	Carbon metabolism	1.21800142007563e-06	2.27321430569999e-06	3.85412695521011e-06	7.08553918426596e-06	1.07045449971973e-05
P00549	Biosynthesis of amino acids	1.21800142007563e-06	2.27321430569999e-06	3.85412695521011e-06	7.08553918426596e-06	1.07045449971973e-05
P00560	Gluconeogenesis	9.07476513182032e-07	1.29673983688976e-06	1.80965068237575e-06	3.09846489046264e-06	4.73055055800022e-06
P00560	Glycolysis	9.07476513182032e-07	1.29673983688976e-06	1.80965068237575e-06	3.09846489046264e-06	4.73055055800022e-06
P00560	Biosynthesis of secondary metabolites	9.07476513182032e-07	1.29673983688976e-06	1.80965068237575e-06	3.09846489046264e-06	4.73055055800022e-06
P00560	Biosynthesis of antibiotics	9.07476513182032e-07	1.29673983688976e-06	1.80965068237575e-06	3.09846489046264e-06	4.73055055800022e-06
P00560	Carbon metabolism	9.07476513182032e-07	1.29673983688976e-06	1.80965068237575e-06	3.09846489046264e-06	4.73055055800022e-06
P00560	Biosynthesis of amino acids	9.07476513182032e-07	1.29673983688976e-06	1.80965068237575e-06	3.09846489046264e-06	4.73055055800022e-06
P00572	Pyrimidine metabolism	0	0	0	0	0
P00635	Thiamine metabolism	0	0	0	0	0
P00635	Riboflavin metabolism	0	0	0	0	0
P00635	Cell cycle - yeast	0	0	0	0	0
P00724	Galactose metabolism	0	0	0	0	0
P00724	Starch and sucrose metabolism	0	0	0	0	0
P00812	Arginine biosynthesis	0	0	0	0	0
P00812	Arginine and proline metabolism	0	0	0	0	0
P00812	Biosynthesis of secondary metabolites	0	0	0	0	0
P00812	Biosynthesis of antibiotics	0	0	0	0	0
P00812	Biosynthesis of amino acids	0	0	0	0	0
P00815	Histidine metabolism	6.73091234683176e-08	7.40400358151494e-08	4.44240214890896e-08	3.63469266728915e-08	1.60061095607659e-07
P00815	Biosynthesis of secondary metabolites	6.73091234683176e-08	7.40400358151494e-08	4.44240214890896e-08	3.63469266728915e-08	1.60061095607659e-07
P00815	Biosynthesis of amino acids	6.73091234683176e-08	7.40400358151494e-08	4.44240214890896e-08	3.63469266728915e-08	1.60061095607659e-07
