protein_IDs	previous_values	modified_values	flex_Mass
prot_P10659	7.37809117905347e-06	7.71635803465698e-06	1.4145619688948e-05
prot_P16451	3.48986155910944e-07	1.08181779349586e-06	3.3242159120399e-05
prot_P28239	9.86362036866863e-08	8.90181710132915e-07	2.81569596562211e-05
prot_P32264	1.3754344192934e-07	3.2732564644276e-07	8.9504400076683e-06
prot_P32895	1.67238747147145e-06	1.0807983554749e-05	0.000429803759269373
prot_P33330	4.01806821191488e-06	3.17867506511976e-05	0.00120557762578829
prot_P37292	3.31464681350529e-06	4.00203236592708e-06	3.69029051549055e-05
prot_P38604	2.91420259581669e-07	0.000607250023579734	0.050656406927524
prot_P38689	1.99334402499547e-06	9.83523402734654e-06	0.000275434780335378
prot_P38858	1.2772e-06	8.73220731239259e-06	0.000207131190518759
prot_P40989	4.92445055487831e-07	1.71271234950498e-06	0.000264782993514004
prot_P49367	3.11981848362113e-06	5.24124592466214e-06	0.000159425038837213
prot_Q12189	7.3884248424259e-07	3.76342696796905e-06	8.54680126867111e-05
