protein_IDs	previous_values	modified_values	flex_Mass
prot_P07342	5.76918282227765e-06	9.37465785115148e-06	0.000270180165201692
prot_P10659	8.30641623625844e-06	8.6409096467344e-06	1.39878220247451e-05
prot_P16451	2.73697208347772e-07	6.88764066405009e-07	1.88279515150488e-05
prot_P28239	7.52989802027423e-08	8.89806486091947e-07	2.89737668854665e-05
prot_P32264	1.21936301465403e-07	2.32382606859324e-07	5.20882889431816e-06
prot_P32895	1.82467848177477e-06	1.08195227447074e-05	0.000423181787264833
prot_P33330	3.67996125821884e-06	6.22724389590742e-06	0.000110590301188076
prot_P38620	8.34730678359007e-07	1.08195227447074e-05	0.000347118101053142
prot_P38858	1.22780273847957e-06	7.86957762426163e-06	0.000184536202528299
prot_P39533	2.27299306156387e-06	5.33712756524273e-06	0.000265299628989804
prot_Q12189	6.72597069920099e-07	3.39832409793736e-06	7.70229674404954e-05
